HOUSEHOLD_ID,REGION,COUNTRY,ENERGY_SOURCE,MONTHLY_USAGE_KWH,YEAR,HOUSEHOLD_SIZE,INCOME_LEVEL,URBAN_RURAL,ADOPTION_YEAR,SUBSIDY_RECEIVED,COST_SAVINGS_USD
H01502,North America,USA,Hydro,1147.839,2024,5,Low,Urban,2012,No,9.414
H02654,North America,USA,Biomass,1316.425,2024,8,Low,Rural,2017,Yes,83.952
H02469,Australia,New Zealand,Geothermal,835.153,2024,4,Low,Urban,2020,Yes,114.318
H02414,South America,Peru,Biomass,628.87,2021,6,Low,Rural,2021,Yes,179.28
H03022,Africa,Ghana,Biomass,1484.461,2020,2,Low,Rural,2012,Yes,306.261
H01074,Asia,India,Wind,820.017,2024,5,Low,Urban,2010,Yes,340.425
H01745,Asia,China,Wind,807.07,2022,3,Low,Rural,2019,Yes,151.857
H04768,Europe,Italy,Wind,1515.668,2023,4,Low,Rural,2020,Yes,206.055
H01963,South America,Argentina,Wind,696.036,2023,6,Low,Rural,2010,No,43.083
H04843,Europe,Germany,Geothermal,1103.74,2023,1,Low,Rural,2019,Yes,151.29
H04867,South America,Colombia,Solar,1442.408,2023,6,Low,Rural,2019,Yes,420.507
H01756,Africa,Kenya,Solar,1500.224,2021,1,Low,Rural,2021,Yes,44.937
H02516,Asia,Japan,Biomass,1361.58,2021,8,Low,Urban,2020,No,279.522
H03600,North America,Canada,Solar,1595.484,2023,1,Low,Rural,2019,No,120.798
H04122,Asia,Japan,Solar,1487.805,2022,4,Low,Urban,2017,Yes,129.087
H03774,Asia,Japan,Geothermal,559.064,2021,8,Low,Rural,2014,Yes,333.459
H03162,North America,USA,Solar,314.952,2020,3,Low,Urban,2020,Yes,391.392
H04629,Europe,UK,Wind,555.588,2020,8,Low,Urban,2015,Yes,91.377
H02452,Europe,France,Biomass,283.492,2024,2,Low,Rural,2012,Yes,121.509
H02571,Africa,South Africa,Solar,1504.536,2021,2,Low,Urban,2011,Yes,335.376
